PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST_AIRPORT_ID,DEST,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
0,299664,0,7917,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,14380,DMM,SA,Saudi Arabia,2012,3
0,612190,0,7770,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,12472,JED,SA,Saudi Arabia,2012,3
0,20594,0,7894,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,14645,RUH,SA,Saudi Arabia,2012,3
0,104515,0,7770,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12266,IAH,US,United States,2012,3
0,643806,0,6365,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12478,JFK,US,United States,2012,3
0,111980,0,7917,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,14380,DMM,SA,Saudi Arabia,2012,8
0,230140,0,7770,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,12472,JED,SA,Saudi Arabia,2012,8
0,58755,0,7894,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,14645,RUH,SA,Saudi Arabia,2012,8
0,15882,0,7770,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12266,IAH,US,United States,2012,8
0,707681,0,6365,SV,Saudi Arabian Airlines Corp,12472,JED,SA,Saudi Arabia,12478,JFK,US,United States,2012,8
0,53249,0,6365,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,12472,JED,SA,Saudi Arabia,2012,8
0,59235,0,6524,SV,Saudi Arabian Airlines Corp,12478,JFK,US,United States,14645,RUH,SA,Saudi Arabia,2012,8
0,28612,0,8260,5Y,Atlas Air Inc.,12892,LAX,US,United States,14645,RUH,SA,Saudi Arabia,2012,7
0,370212,0,7917,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,14380,DMM,SA,Saudi Arabia,2012,5
0,134911,0,7770,SV,Saudi Arabian Airlines Corp,12266,IAH,US,United States,12472,JED,SA,Saudi Arabia,2012,5
