PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST_AIRPORT_ID,DEST,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
0,213627,0,6151,MU,China Eastern Airlines,14309,PVG,CN,China,14771,SFO,US,United States,2002,10
0,4055,0,5494,CA,Air China,14066,PEK,CN,China,14057,PDX,US,United States,2002,12
0,19826,0,6754,FX,Federal Express Corporation,14066,PEK,CN,China,12339,IND,US,United States,2002,12
0,1195674,0,7773,CZ,China Southern Airlines,13930,ORD,US,United States,15113,SZX,CN,China,2002,12
0,790062,0,6580,CA,Air China,14066,PEK,CN,China,13930,ORD,US,United States,2002,12
0,68086,0,6151,MU,China Eastern Airlines,14771,SFO,US,United States,14309,PVG,CN,China,2002,11
0,421401,0,3961,FX,Federal Express Corporation,14066,PEK,CN,China,10299,ANC,US,United States,2002,10
0,887249,0,6838,CA,Air China,14066,PEK,CN,China,12478,JFK,US,United States,2002,10
0,5,0,8041,FX,Federal Express Corporation,11618,EWR,US,United States,15113,SZX,CN,China,2002,12
0,437873,0,3961,FX,Federal Express Corporation,14066,PEK,CN,China,10299,ANC,US,United States,2002,11
0,14823,0,7312,NW,Northwest Airlines Inc.,11193,CVG,US,United States,14309,PVG,CN,China,2002,12
0,967,0,6993,FX,Federal Express Corporation,14066,PEK,CN,China,13244,MEM,US,United States,2002,12
0,33781,0,5494,CA,Air China,14057,PDX,US,United States,14066,PEK,CN,China,2002,12
0,1427257,0,7393,CA,Air China,14309,PVG,CN,China,12478,JFK,US,United States,2002,12
0,1511937,0,7393,MU,China Eastern Airlines,14309,PVG,CN,China,12478,JFK,US,United States,2002,12
0,87001,7678,3961,FX,Federal Express Corporation,10299,ANC,US,United States,14066,PEK,CN,China,2002,12
0,605488,0,6838,CA,Air China,12478,JFK,US,United States,14066,PEK,CN,China,2002,12
0,552275,0,6838,MU,China Eastern Airlines,12478,JFK,US,United States,14066,PEK,CN,China,2002,12
0,2181,0,5064,FX,Federal Express Corporation,10299,ANC,US,United States,15113,SZX,CN,China,2002,12
0,23160,0,5064,5Y,Atlas Air Inc.,10299,ANC,US,United States,15113,SZX,CN,China,2002,12
0,319323,0,7057,CA,Air China,13930,ORD,US,United States,14309,PVG,CN,China,2002,12
0,340820,0,7057,MU,China Eastern Airlines,13930,ORD,US,United States,14309,PVG,CN,China,2002,12
0,868551,0,6838,CA,Air China,12478,JFK,US,United States,14066,PEK,CN,China,2002,11
0,346273,0,6838,MU,China Eastern Airlines,12478,JFK,US,United States,14066,PEK,CN,China,2002,11
0,168091,0,5494,CA,Air China,14057,PDX,US,United States,14066,PEK,CN,China,2002,11
0,0,11,8041,FX,Federal Express Corporation,11618,EWR,US,United States,15113,SZX,CN,China,2002,10
0,34580,0,5722,MU,China Eastern Airlines,14309,PVG,CN,China,14747,SEA,US,United States,2002,12
0,314180,0,7393,MU,China Eastern Airlines,12478,JFK,US,United States,14309,PVG,CN,China,2002,10
0,1129333,0,7393,CA,Air China,12478,JFK,US,United States,14309,PVG,CN,China,2002,10
0,0,0,7393,UA,United Air Lines Inc.,12478,JFK,US,United States,14309,PVG,CN,China,2002,10
0,9471,1449,3963,FX,Federal Express Corporation,10299,ANC,US,United States,14066,PEK,CN,China,2002,2
0,639899,0,3963,5X,United Parcel Service,10299,ANC,US,United States,14066,PEK,CN,China,2002,2
0,171445,0,4308,5X,United Parcel Service,10299,ANC,US,United States,14309,PVG,CN,China,2002,2
0,23307,0,5066,FX,Federal Express Corporation,10299,ANC,US,United States,15113,SZX,CN,China,2002,2
