PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST_AIRPORT_ID,DEST,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,MONTH
0,979495,0,9697,FX,Federal Express Corporation,14824,SIN,SG,Singapore,13244,MEM,US,United States,2002,10
0,2250235,0,9487,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2002,10
0,2265947,0,9487,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12478,JFK,US,United States,2002,11
0,15,22,6665,NW,Northwest Airlines Inc.,10299,ANC,US,United States,14824,SIN,SG,Singapore,2002,12
0,374115,3975,6665,FX,Federal Express Corporation,10299,ANC,US,United States,14824,SIN,SG,Singapore,2002,12
0,1026417,0,8440,SQ,Singapore Airlines Ltd.,14771,SFO,US,United States,14824,SIN,SG,Singapore,2002,10
0,353199,0,9642,SQ,Singapore Airlines Ltd.,11298,DFW,US,United States,14824,SIN,SG,Singapore,2002,10
0,4881056,0,8758,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,12892,LAX,US,United States,2002,10
0,601894,0,8440,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,14771,SFO,US,United States,2002,12
0,24063,4755,8440,FX,Federal Express Corporation,14824,SIN,SG,Singapore,14771,SFO,US,United States,2002,12
0,1441660,0,8758,SQ,Singapore Airlines Ltd.,12892,LAX,US,United States,14824,SIN,SG,Singapore,2002,11
0,366150,0,9642,SQ,Singapore Airlines Ltd.,14824,SIN,SG,Singapore,11298,DFW,US,United States,2002,12
0,343365,0,9642,SQ,Singapore Airlines Ltd.,11298,DFW,US,United States,14824,SIN,SG,Singapore,2002,12
0,12930,0,8444,FX,Federal Express Corporation,13796,OAK,US,United States,14824,SIN,SG,Singapore,2002,12
0,583773,0,6665,FX,Federal Express Corporation,14824,SIN,SG,Singapore,10299,ANC,US,United States,2002,12
