Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"815,489","92,565","908,054"
2002,11,"766,775","91,342","858,117"
2002,12,"782,175","96,881","879,056"
2002,TOTAL,"8,085,083","1,023,994","9,109,077"
2003,1,"785,651","98,053","883,704"
2003,2,"690,750","85,965","776,715"
2003,3,"797,634","97,929","895,563"
2003,4,"766,639","89,398","856,037"
2003,5,"789,857","87,671","877,528"
2003,6,"798,841","95,435","894,276"
2003,7,"832,075","102,795","934,870"
2003,8,"831,185","102,145","933,330"
2003,9,"782,264","90,681","872,945"
2003,10,"818,777","91,820","910,597"
2003,11,"766,266","91,004","857,270"
2003,12,"798,879","97,094","895,973"
2003,TOTAL,"9,458,818","1,129,990","10,588,808"
2004,1,"787,719","98,671","886,390"
2004,2,"762,038","92,915","854,953"
2004,3,"834,912","101,541","936,453"
2004,4,"818,293","100,027","918,320"
2004,5,"833,861","102,602","936,463"
2004,6,"837,451","104,769","942,220"
2004,7,"871,526","113,956","985,482"
2004,8,"883,458","112,497","995,955"
2004,9,"819,715","96,493","916,208"
2004,10,"861,739","97,757","959,496"
2004,11,"820,586","96,169","916,755"
2004,12,"836,749","103,282","940,031"
2004,TOTAL,"9,968,047","1,220,679","11,188,726"
2005,1,"807,817","104,435","912,252"
2005,2,"761,366","94,597","855,963"
2005,3,"867,055","108,324","975,379"
2005,4,"838,535","105,103","943,638"
2005,5,"873,425","108,663","982,088"
2005,6,"863,921","110,219","974,140"
2005,7,"887,493","118,188","1,005,681"
2005,8,"891,350","116,031","1,007,381"
2005,9,"815,316","101,031","916,347"
2005,10,"831,717","99,765","931,482"
2005,11,"797,856","96,426","894,282"
2005,12,"802,522","104,899","907,421"
2005,TOTAL,"10,038,373","1,267,681","11,306,054"
2006,1,"785,817","106,320","892,137"
2006,2,"716,229","96,254","812,483"
2006,3,"824,241","110,615","934,856"
2006,4,"794,799","107,878","902,677"
2006,5,"824,452","108,911","933,363"
2006,6,"820,712","111,788","932,500"
2006,7,"852,500","119,813","972,313"
2006,8,"866,941","118,451","985,392"
2006,9,"800,175","104,855","905,030"
2006,10,"828,582","103,471","932,053"
2006,11,"792,846","100,564","893,410"
2006,12,"805,456","110,289","915,745"
2006,TOTAL,"9,712,750","1,299,209","11,011,959"
2007,1,"804,290","110,453","914,743"
2007,2,"724,968","99,896","824,864"
2007,3,"830,718","114,004","944,722"
